,DATA,DECISIONE,ANDAMENTO MERCATO,OPEN,MAX,MIN,CLOSE,VOLUME,CLOSE-OPEN
673,03/09/2015,HOLD,1,10125.5,10380.5,10111.0,10240.5,112764,115.0
674,04/09/2015,BUY,-1,10143.0,10217.0,9955.0,10020.0,106604,-123.0
675,07/09/2015,HOLD,1,10100.0,10183.0,10052.5,10120.0,45187,20.0
676,08/09/2015,HOLD,1,10145.5,10372.5,10092.5,10335.0,95252,189.5
677,09/09/2015,HOLD,-1,10447.5,10524.0,10155.5,10167.0,109396,-280.5
678,10/09/2015,HOLD,1,10235.5,10327.0,10153.0,10249.5,104847,14.0
679,11/09/2015,HOLD,-1,10250.0,10250.5,10076.5,10194.0,79158,-56.0
680,14/09/2015,HOLD,-1,10179.0,10227.0,10081.5,10158.0,81764,-21.0
681,15/09/2015,HOLD,1,10178.5,10262.0,10067.5,10259.0,85802,80.5
682,16/09/2015,HOLD,1,10229.5,10339.0,10171.5,10264.5,73848,35.0
683,17/09/2015,HOLD,-1,10281.0,10328.5,10128.0,10188.5,66164,-92.5
684,18/09/2015,SELL,-1,10200.5,10219.0,9857.0,9928.0,145362,-272.5
685,21/09/2015,HOLD,1,9885.0,10000.5,9782.0,9974.5,104003,89.5
686,22/09/2015,HOLD,-1,9991.0,10019.0,9557.5,9628.5,147671,-362.5
687,23/09/2015,HOLD,1,9510.0,9712.0,9483.0,9608.0,110266,98.0
688,24/09/2015,HOLD,-1,9591.5,9708.0,9361.0,9532.5,147170,-59.0
689,25/09/2015,HOLD,1,9598.0,9746.5,9561.5,9629.0,124389,31.0
690,28/09/2015,HOLD,-1,9577.0,9678.5,9434.0,9452.0,120392,-125.0
691,29/09/2015,SELL,1,9420.0,9539.0,9301.0,9475.5,144343,55.5
692,30/09/2015,HOLD,1,9589.5,9734.5,9581.0,9666.0,124707,76.5
693,01/10/2015,HOLD,-1,9748.5,9787.5,9449.0,9567.0,130718,-181.5
694,02/10/2015,SELL,1,9580.0,9681.0,9390.0,9679.0,134906,99.0
695,05/10/2015,HOLD,1,9739.0,9892.5,9647.5,9892.5,113504,153.5
696,06/10/2015,HOLD,1,9827.5,9956.0,9728.0,9870.5,116788,43.0
697,07/10/2015,SELL,1,9898.5,10093.5,9889.0,10033.0,128511,134.5
698,08/10/2015,HOLD,1,9939.0,10105.0,9907.5,10104.0,91698,165.0
699,09/10/2015,HOLD,-1,10119.0,10147.0,10044.5,10110.5,85867,-8.5
700,12/10/2015,HOLD,-1,10120.5,10188.0,10053.0,10106.5,66308,-14.0
701,13/10/2015,HOLD,-1,10104.5,10116.5,9935.5,9992.5,106603,-112.0
702,14/10/2015,HOLD,-1,9970.0,10039.0,9885.5,9918.5,104732,-51.5
703,15/10/2015,SELL,1,9980.0,10148.5,9956.0,10143.0,98872,163.0
704,16/10/2015,HOLD,-1,10139.0,10166.0,10052.5,10116.5,88746,-22.5
705,19/10/2015,HOLD,1,10124.0,10208.0,10066.0,10172.5,78670,48.5
706,20/10/2015,HOLD,-1,10157.5,10193.0,10076.0,10140.5,75679,-17.0
707,21/10/2015,HOLD,-1,10191.0,10276.5,10102.5,10181.0,94028,-10.0
708,22/10/2015,HOLD,1,10206.0,10587.0,10188.5,10574.0,129706,368.0
709,23/10/2015,SELL,1,10640.0,10860.0,10583.5,10850.0,119833,210.0
710,26/10/2015,HOLD,-1,10810.0,10867.5,10757.5,10795.0,86004,-15.0
711,27/10/2015,BUY,-1,10786.0,10809.5,10685.5,10733.0,81324,-53.0
712,28/10/2015,BUY,1,10719.5,10927.0,10691.0,10910.0,89919,190.5
713,29/10/2015,HOLD,-1,10877.0,10893.5,10741.0,10808.5,85530,-68.5
714,30/10/2015,HOLD,-1,10845.5,10880.0,10746.5,10823.0,72181,-22.5
715,02/11/2015,HOLD,1,10761.0,10995.0,10727.5,10979.0,80018,218.0
716,03/11/2015,HOLD,-1,10964.5,10999.0,10882.5,10949.0,76585,-15.5
717,04/11/2015,HOLD,-1,10972.0,11009.0,10812.0,10854.5,93061,-117.5
718,05/11/2015,HOLD,1,10868.5,10966.0,10781.5,10886.5,90245,18.0
719,06/11/2015,HOLD,1,10902.0,11059.0,10841.5,11030.0,92133,128.0
720,09/11/2015,HOLD,-1,10995.0,11013.5,10786.0,10835.0,84334,-160.0
721,10/11/2015,BUY,-1,10854.0,10872.5,10727.0,10853.5,89658,-0.5
722,11/11/2015,HOLD,1,10864.0,10996.5,10836.0,10864.5,84831,0.5
723,12/11/2015,HOLD,-1,10890.0,10960.5,10711.0,10711.0,108866,-179.0
724,13/11/2015,SELL,-1,10719.0,10817.0,10605.5,10677.5,111515,-41.5
725,16/11/2015,SELL,1,10500.0,10820.5,10482.0,10820.5,101360,320.5
726,17/11/2015,SELL,1,10829.0,10978.5,10782.0,10895.0,104308,66.0
727,18/11/2015,HOLD,1,10898.5,11048.5,10876.0,11028.5,89121,130.0
728,19/11/2015,HOLD,1,11050.0,11153.5,11034.5,11050.5,91242,0.5
729,20/11/2015,BUY,1,11064.0,11166.0,11049.0,11101.5,79155,37.5
730,23/11/2015,SELL,-1,11135.0,11143.0,11027.0,11062.0,67284,-73.0
