DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CLASS
24/06/2015,11590.5,11595,11367,11414.5,115855,-1
25/06/2015,11437.5,11610,11350.5,11443,114566,1
26/06/2015,11400,11566,11372,11540,92105,1
29/06/2015,10955,11293,10841,10979,156671,1
30/06/2015,11015.5,11140,10897.5,11006,166334,-1
01/07/2015,11079,11287.5,10978.5,11175,132544,1
02/07/2015,11176.5,11231,11071,11119.5,68634,-1
03/07/2015,11133,11134.5,11006.5,11112.5,61521,-1
06/07/2015,10757,10997,10727.5,10869,116578,1
07/07/2015,10905.5,10949.5,10659.5,10893,137685,-1
08/07/2015,10761,10806,10650,10710,110210,-1
09/07/2015,10806,11035.5,10780.5,10958,108100,1
10/07/2015,11206,11403,11147.5,11399.5,112110,1
13/07/2015,11326,11517,11254,11486.5,98673,1
14/07/2015,11514,11548.5,11415.5,11531,65727,1
15/07/2015,11535,11571.5,11478,11535,62784,-1
16/07/2015,11623,11791.5,11603.5,11735,86846,1
17/07/2015,11737.5,11767,11650.5,11682,68088,-1
20/07/2015,11758,11807,11717,11750,53974,-1
21/07/2015,11783,11783,11570,11603,70778,-1
22/07/2015,11567,11595.5,11480,11551,76659,-1
23/07/2015,11589,11630,11436.5,11451,81681,-1
24/07/2015,11482,11549.5,11282,11299,93132,-1
27/07/2015,11315,11320,11029.5,11051,131217,-1
28/07/2015,11100,11248.5,11066,11216,115125,1
29/07/2015,11194,11280,11119.5,11257.5,102536,1
30/07/2015,11243.5,11314,11137.5,11270,103193,1
31/07/2015,11282,11329,11169.5,11318.5,88262,1
03/08/2015,11290,11464.5,11246.5,11424,104544,1
04/08/2015,11426,11480.5,11381.5,11472,73054,1
05/08/2015,11480,11659,11476.5,11600,89731,1
06/08/2015,11607.5,11673,11532.5,11566.5,72157,-1
07/08/2015,11587.5,11588,11482.5,11512,73560,-1
10/08/2015,11544,11621.5,11430,11619.5,75274,1
11/08/2015,11563,11573.5,11262.5,11302.5,127489,-1
12/08/2015,11200,11202,10892.5,11055,154261,-1
13/08/2015,11080,11156.5,10977.5,11008,109698,-1
14/08/2015,10983,11094,10909,11050.5,82394,1
17/08/2015,11031,11114,10811.5,10979,103342,-1
18/08/2015,10973.5,10984,10880,10906,70857,-1
19/08/2015,10847,10856,10670,10674.5,100623,-1
20/08/2015,10658,10658,10300,10300,143282,-1
21/08/2015,10153,10437,9980,10035,190954,-1
24/08/2015,9806.5,9936.5,9317.5,9643.5,235927,-1
25/08/2015,9701.5,10187.5,9701.5,9825.5,185012,1
26/08/2015,9993,10204,9849,10204,145460,1
27/08/2015,10217.5,10383,10165.5,10354.5,119643,1
28/08/2015,10313,10353,10183,10281.5,80731,-1
31/08/2015,10191.5,10309,10129.5,10224.5,74215,1
01/09/2015,10014,10118,9885,9916.5,126354,-1
02/09/2015,10027.5,10138,9960,10138,98207,1
03/09/2015,10125.5,10380.5,10111,10240.5,112764,1
04/09/2015,10143,10217,9955,10020,106604,-1
07/09/2015,10100,10183,10052.5,10120,45187,1
08/09/2015,10145.5,10372.5,10092.5,10335,95252,1
09/09/2015,10447.5,10524,10155.5,10167,109396,-1
10/09/2015,10235.5,10327,10153,10249.5,104847,1
11/09/2015,10250,10250.5,10076.5,10194,79158,-1
14/09/2015,10179,10227,10081.5,10158,81764,-1
15/09/2015,10178.5,10262,10067.5,10259,85802,1
16/09/2015,10229.5,10339,10171.5,10264.5,73848,1
17/09/2015,10281,10328.5,10128,10188.5,66164,-1
18/09/2015,10200.5,10219,9857,9928,145362,-1
21/09/2015,9885,10000.5,9782,9974.5,104003,1
22/09/2015,9991,10019,9557.5,9628.5,147671,-1
23/09/2015,9510,9712,9483,9608,110266,1
24/09/2015,9591.5,9708,9361,9532.5,147170,-1
25/09/2015,9598,9746.5,9561.5,9629,124389,1
28/09/2015,9577,9678.5,9434,9452,120392,-1
29/09/2015,9420,9539,9301,9475.5,144343,1
30/09/2015,9589.5,9734.5,9581,9666,124707,1
01/10/2015,9748.5,9787.5,9449,9567,130718,-1
02/10/2015,9580,9681,9390,9679,134906,1
05/10/2015,9739,9892.5,9647.5,9892.5,113504,1
06/10/2015,9827.5,9956,9728,9870.5,116788,1
07/10/2015,9898.5,10093.5,9889,10033,128511,1
08/10/2015,9939,10105,9907.5,10104,91698,1
09/10/2015,10119,10147,10044.5,10110.5,85867,-1
12/10/2015,10120.5,10188,10053,10106.5,66308,-1
13/10/2015,10104.5,10116.5,9935.5,9992.5,106603,-1
14/10/2015,9970,10039,9885.5,9918.5,104732,-1
15/10/2015,9980,10148.5,9956,10143,98872,1
16/10/2015,10139,10166,10052.5,10116.5,88746,-1
19/10/2015,10124,10208,10066,10172.5,78670,1
20/10/2015,10157.5,10193,10076,10140.5,75679,-1
21/10/2015,10191,10276.5,10102.5,10181,94028,-1
22/10/2015,10206,10587,10188.5,10574,129706,1
23/10/2015,10640,10860,10583.5,10850,119833,1
26/10/2015,10810,10867.5,10757.5,10795,86004,-1
27/10/2015,10786,10809.5,10685.5,10733,81324,-1
28/10/2015,10719.5,10927,10691,10910,89919,1
29/10/2015,10877,10893.5,10741,10808.5,85530,-1
30/10/2015,10845.5,10880,10746.5,10823,72181,-1
02/11/2015,10761,10995,10727.5,10979,80018,1
03/11/2015,10964.5,10999,10882.5,10949,76585,-1
04/11/2015,10972,11009,10812,10854.5,93061,-1
05/11/2015,10868.5,10966,10781.5,10886.5,90245,1
06/11/2015,10902,11059,10841.5,11030,92133,1
