0,ACCURACY,MAXDRAWDOWN,EQUITY,EQUITY/MDD,TRAIN_SIZE,TEST_SIZE,FEATURE_SIZE,MIN_SAMPLES_LEAF,MAX_DEPTH,N_ESTIMATORS,LOSS
454,0.507772021,51687.5,20112.5,0.389117291,1500,200,7,10,6,1000,DEVIANCE
455,0.499452055,36350,14050,0.386519945,1000,150,4,10,6,500,DEVIANCE
456,0.513051732,74012.5,28012.5,0.378483364,450,100,2,10,6,50,DEVIANCE
457,0.510204082,62687.5,23637.5,0.377068794,450,100,2,10,3,50,DEVIANCE
458,0.513032422,46287.5,17087.5,0.36916014,1500,150,7,10,6,500,DEVIANCE
459,0.514254386,68762.5,25062.5,0.364479186,1000,100,4,15,6,500,DEVIANCE
460,0.519886364,53250,19300,0.362441315,1500,200,2,15,3,100,DEVIANCE
461,0.510684932,49187.5,17825,0.362388818,1000,150,4,15,6,1000,DEVIANCE
462,0.497488584,42137.5,15025,0.356570751,200,150,4,15,6,100,DEVIANCE
463,0.512814428,63450,22587.5,0.355988968,450,100,2,15,6,100,DEVIANCE
464,0.509330759,40812.5,14350,0.351607963,1500,150,2,10,6,1000,DEVIANCE
465,0.507653061,49550,17262.5,0.348385469,1500,100,2,15,3,500,DEVIANCE
466,0.503478811,36150,12250,0.338865837,1500,100,7,15,3,1000,DEVIANCE
467,0.514800515,40812.5,13775,0.337519142,1500,150,2,10,3,1000,DEVIANCE
468,0.51434949,59512.5,20062.5,0.337114052,1500,100,2,15,6,1000,DEVIANCE
469,0.514668367,57762.5,19387.5,0.335641636,1500,100,2,15,6,500,DEVIANCE
470,0.509977324,51925,17400,0.3350987,200,100,2,15,6,100,DEVIANCE
471,0.505630631,58125,19450,0.334623656,200,150,2,10,3,100,DEVIANCE
472,0.520833333,52287.5,17412.5,0.333014583,1500,100,4,10,6,1000,DEVIANCE
473,0.508264463,55650,18512.5,0.332659479,1500,150,7,15,3,1000,DEVIANCE
474,0.521683673,50262.5,16662.5,0.331509575,1500,100,2,15,6,50,DEVIANCE
475,0.520592021,53137.5,17475,0.328863797,1500,150,2,10,6,100,DEVIANCE
476,0.502664729,45487.5,14925,0.328112119,450,100,4,10,6,50,DEVIANCE
477,0.521084337,58200,18375,0.315721649,1500,500,2,10,6,500,DEVIANCE
478,0.517737617,46287.5,13325,0.287874696,1500,500,2,15,6,500,DEVIANCE
479,0.519255051,51025,14675,0.287604116,1500,200,2,15,6,50,DEVIANCE
480,0.504403131,46725,13162.5,0.281701445,450,150,4,15,6,50,DEVIANCE
481,0.506957622,33025,8900,0.269492808,1500,100,7,10,6,500,DEVIANCE
482,0.505479452,65575,17375,0.264963782,1000,150,4,10,6,1000,DEVIANCE
483,0.504055944,49837.5,13000,0.260847755,1000,150,7,15,6,500,DEVIANCE
484,0.498401826,50525,12425,0.245917862,200,150,4,15,6,500,DEVIANCE
485,0.514800515,42950,10425,0.242724098,1500,150,2,10,6,500,DEVIANCE
486,0.507692308,57512.5,13650,0.237339709,1000,150,7,10,6,50,DEVIANCE
487,0.520913771,49012.5,11450,0.233613874,1500,150,2,15,3,100,DEVIANCE
488,0.534946237,81087.5,18900,0.233081548,1500,500,4,15,6,50,DEVIANCE
489,0.522844273,54537.5,11675,0.214072886,1500,150,2,10,3,100,DEVIANCE
490,0.513846154,57375,11350,0.197821351,1000,150,7,10,3,100,DEVIANCE
491,0.514784946,48425,8950,0.18482189,1500,500,4,10,6,1000,DEVIANCE
492,0.512096774,60662.5,11100,0.1829796,1500,500,4,10,3,1000,DEVIANCE
493,0.497488584,45212.5,8225,0.181918717,200,150,4,15,6,50,DEVIANCE
494,0.517538265,56612.5,9287.5,0.164053875,1500,100,2,15,6,100,DEVIANCE
495,0.518886132,67500,9612.5,0.142407407,1000,100,7,10,3,50,DEVIANCE
496,0.51753115,45275,6350,0.140254003,1000,500,7,10,3,1000,DEVIANCE
497,0.516098485,64600,8875,0.137383901,1500,200,2,10,3,100,DEVIANCE
498,0.513392857,58500,7512.5,0.128418803,1500,100,2,10,6,1000,DEVIANCE
499,0.499210467,47475,5962.5,0.125592417,200,150,7,15,6,50,DEVIANCE
500,0.524096386,50450,6200,0.122893954,1500,500,2,10,6,50,DEVIANCE
501,0.516404742,48750,5412.5,0.111025641,1000,100,7,15,3,50,DEVIANCE
502,0.515792524,39700,4300,0.108312343,1000,500,7,10,3,500,DEVIANCE
503,0.532175032,71925,7525,0.104622871,1500,150,2,10,3,50,DEVIANCE
504,0.52452957,72087.5,7275,0.100919022,1500,500,4,15,6,500,DEVIANCE
505,0.500913242,46912.5,4250,0.090594191,200,150,4,15,3,1000,DEVIANCE
506,0.511044177,41037.5,3475,0.084678648,1500,500,2,10,3,500,DEVIANCE
