0,ACCURACY,MAXDRAWDOWN,EQUITY,EQUITY/MDD,TRAIN_SIZE,TEST_SIZE,FEATURE_SIZE,MIN_SAMPLES_LEAF,MAX_DEPTH,N_ESTIMATORS,LOSS
458,0.507936508,14.45,13.155,0.910380623,200,100,2,10,3,100,DEVIANCE
459,0.514008621,15.0375,13.7525,0.914546966,1000,100,4,15,3,50,DEVIANCE
460,0.505028736,21.735,20.1375,0.926501035,1000,100,4,10,3,1000,DEVIANCE
461,0.505360334,13.85,12.94,0.934296029,450,150,4,15,3,50,DEVIANCE
462,0.514640639,15.615,14.8825,0.953089978,1500,100,2,10,3,100,DEVIANCE
463,0.507038288,16.195,15.5,0.95708552,200,150,2,10,3,100,DEVIANCE
464,0.503330866,20.73,20.085,0.968885673,1000,200,7,15,3,50,DEVIANCE
465,0.504615385,26.035,25.39,0.975225658,200,150,7,15,3,100,DEVIANCE
466,0.503275759,19.445,19,0.97711494,450,150,4,15,6,100,DEVIANCE
467,0.512304922,20.27,19.85,0.979279724,450,100,2,10,3,50,DEVIANCE
468,0.512048193,14.7,14.4575,0.983503401,1500,500,2,10,6,100,DEVIANCE
469,0.499103943,22.33,22.2,0.994178236,450,100,7,10,3,50,DEVIANCE
470,0.50831643,16.86,16.795,0.996144721,1000,500,7,10,3,100,DEVIANCE
471,0.503532737,13.61,13.56,0.996326231,1500,200,7,10,6,500,DEVIANCE
472,0.511888112,20.19,20.27,1.003962358,200,150,7,10,6,100,DEVIANCE
473,0.503882915,21.48,21.605,1.005819367,450,100,7,15,6,50,DEVIANCE
474,0.507526882,17.17,17.405,1.013686663,1000,100,7,10,6,1000,DEVIANCE
475,0.516566265,14.7,15.1825,1.032823129,1500,500,2,10,3,50,DEVIANCE
476,0.50609319,18.61,19.245,1.03412144,1000,100,7,10,6,100,DEVIANCE
477,0.510141988,13.41,14.0125,1.044929157,1500,500,7,15,3,1000,DEVIANCE
478,0.503809814,15.96,16.81,1.053258145,450,200,7,10,3,1000,DEVIANCE
479,0.512605042,22.49,23.79,1.057803468,450,100,2,10,3,100,DEVIANCE
480,0.501075269,16.37,17.395,1.062614539,1000,100,7,10,3,1000,DEVIANCE
481,0.511977887,25.185,26.8675,1.066805638,450,150,2,10,6,50,DEVIANCE
482,0.506993007,21.125,22.6475,1.072071006,1500,150,7,15,6,50,DEVIANCE
