0,ACCURACY,MAXDRAWDOWN,EQUITY,EQUITY/MDD,TRAIN_SIZE,TEST_SIZE,FEATURE_SIZE,MIN_SAMPLES_LEAF,MAX_DEPTH,N_ESTIMATORS,LOSS
262,0.506618864,65500,-19587.5,-0.299045802,400,100,2,15,3,100,DEVIANCE
263,0.506519274,56725,-18300,-0.322609079,500,200,4,15,3,500,DEVIANCE
264,0.510204082,63775,-21362.5,-0.33496668,400,100,2,10,6,50,DEVIANCE
265,0.506756757,54775,-19162.5,-0.349840256,500,100,4,15,6,1000,DEVIANCE
266,0.498120301,54950,-20125,-0.366242038,300,200,4,15,3,500,DEVIANCE
267,0.499863649,48937.5,-19300,-0.394380587,400,200,7,15,3,50,DEVIANCE
268,0.507787325,28600,-11375,-0.397727273,300,100,2,15,6,100,DEVIANCE
269,0.491675618,52987.5,-21525,-0.406227884,300,200,4,15,6,1000,DEVIANCE
270,0.501611171,67287.5,-29125,-0.432844139,300,200,4,15,3,1000,DEVIANCE
271,0.500801282,49950,-22550,-0.451451451,300,100,4,10,6,500,DEVIANCE
272,0.507250269,39162.5,-17975,-0.458984998,300,100,2,15,6,50,DEVIANCE
273,0.502267574,44675,-20575,-0.460548405,500,200,4,10,6,500,DEVIANCE
274,0.502045269,41087.5,-21275,-0.517797384,400,200,7,15,6,50,DEVIANCE
275,0.505102041,53900,-28225,-0.523654917,500,200,4,10,6,1000,DEVIANCE
276,0.504833512,47937.5,-26175,-0.546023468,300,100,2,10,6,50,DEVIANCE
277,0.505102041,44137.5,-25000,-0.566411781,300,100,2,15,3,500,DEVIANCE
278,0.503378378,59800,-33987.5,-0.568352843,500,100,4,15,6,500,DEVIANCE
279,0.500681756,61912.5,-36300,-0.586311326,400,200,7,15,3,100,DEVIANCE
280,0.496777658,43625,-25675,-0.588538682,300,200,4,10,6,500,DEVIANCE
281,0.501869658,41900,-25025,-0.59725537,300,100,4,10,6,50,DEVIANCE
282,0.502148228,71075,-43575,-0.61308477,300,100,2,10,3,100,DEVIANCE
283,0.507787325,39025,-24200,-0.620115311,300,100,2,15,6,1000,DEVIANCE
284,0.498629386,52337.5,-35100,-0.670647241,400,100,4,15,3,1000,DEVIANCE
285,0.494897959,50125,-34925,-0.696758105,300,200,4,10,6,1000,DEVIANCE
286,0.504564984,46525,-32950,-0.708221386,300,100,2,10,3,50,DEVIANCE
287,0.508324382,34562.5,-25625,-0.741410488,300,100,2,10,6,100,DEVIANCE
,0.507518797,40212.5,-34500,-0.857942182,300,100,2,10,3,500,DEVIANCE
